session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex
HWS-003-BACS,9,5,BACS,limo01,1784108412000640350,1784108412004922055,1784108412004923890,1784108412004932955,4281705,1,-73.85,10.98,0x2e40cffa
HWS-003-BACS,9,6,BACS,limo02,1784108419203885292,1784108419205103943,1784108419205105023,1784108419205122908,1218651,10,-86.43,15.88,0x4b2ed457
HWS-003-BACS,9,7,BACS,limo02,1784108426403208087,1784108426403289370,1784108426403291329,1784108426403313535,81283,9,-87.46,5.89,0x7974f557
HWS-003-BACS,10,0,BACS,limo02,1784108448002571778,1784108448006856797,1784108448006859714,1784108448006871132,4285019,6,-75.63,10.13,0xddfb73fa
HWS-003-BACS,10,1,BACS,limo02,1784108455203960253,1784108455208328866,1784108455208331342,1784108455208354815,4368613,2,-93.20,7.64,0xec85eafb
HWS-003-BACS,10,2,BACS,limo01,1784108462404259709,1784108462408237724,1784108462408239164,1784108462408260505,3978015,8,-84.34,17.14,0xbb35a0b2
HWS-003-BACS,10,3,BACS,limo01,1784108469603980072,1784108469605198046,1784108469605200806,1784108469605208943,1217974,5,-85.40,13.23,0x604762d1
HWS-003-BACS,10,4,BACS,limo01,1784108476801392614,1784108476806221210,1784108476806222234,1784108476806247090,4828596,8,-89.02,6.70,0xa20b3ab2
HWS-003-BACS,10,5,BACS,limo01,1784108484001669717,1784108484004768118,1784108484004770099,1784108484004780935,3098401,0,-74.13,14.50,0x911c9301
HWS-003-BACS,10,6,BACS,limo02,1784108491201094600,1784108491205825352,1784108491205827342,1784108491205838490,4730752,10,-92.15,12.83,0x14e01e2f
HWS-003-BACS,10,7,BACS,limo02,1784108498402929564,1784108498403639285,1784108498403640497,1784108498403652368,709721,5,-75.68,12.60,0x9ddd5e0a
