session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex
HWS-002-FIFO,3,0,FIFO,limo01,1784021544004070419,1784021544005549732,1784021544005551381,1784021544005567784,1479313,5,-86.00,2.31,0xdfc90b78
HWS-002-FIFO,3,1,FIFO,limo01,1784021551204254137,1784021551208652055,1784021551208654449,1784021551208678222,4397918,0,-82.92,13.27,0xa046dcd9
HWS-002-FIFO,3,2,FIFO,limo01,1784021558404069065,1784021558406870917,1784021558406873711,1784021558406888493,2801852,8,-84.27,15.82,0x0b8f8549
HWS-002-FIFO,3,3,FIFO,limo02,1784021565600528350,1784021565602047763,1784021565602049374,1784021565602055408,1519413,9,-90.87,14.47,0xe2007768
HWS-002-FIFO,3,4,FIFO,limo02,1784021572802264905,1784021572803151106,1784021572803153944,1784021572803167967,886201,1,-87.37,5.82,0x2521cc0b
HWS-002-FIFO,3,5,FIFO,limo01,1784021580003276598,1784021580007336419,1784021580007338969,1784021580007344276,4059821,0,-91.09,6.37,0x6ad91af1
HWS-002-FIFO,3,6,FIFO,limo01,1784021587203381075,1784021587207099380,1784021587207100627,1784021587207117680,3718305,7,-90.66,5.71,0xf70c6a0c
HWS-002-FIFO,3,7,FIFO,limo02,1784021594400267124,1784021594400376177,1784021594400377755,1784021594400395662,109053,5,-74.50,8.40,0xccf538a4
HWS-002-FIFO,4,0,FIFO,limo02,1784021616000201405,1784021616002842049,1784021616002844860,1784021616002868430,2640644,2,-94.97,7.89,0xc569a514
HWS-002-FIFO,4,1,FIFO,limo01,1784021623202637992,1784021623204018297,1784021623204019468,1784021623204043262,1380305,10,-92.33,4.43,0x7ed28725
HWS-002-FIFO,4,2,FIFO,limo02,1784021630400762569,1784021630401965279,1784021630401966736,1784021630401971736,1202710,8,-89.04,13.38,0x5d22fee7
HWS-002-FIFO,4,3,FIFO,limo02,1784021637604268044,1784021637605693579,1784021637605695585,1784021637605702473,1425535,4,-93.17,11.36,0xc3a68459
HWS-002-FIFO,4,4,FIFO,limo02,1784021644804501239,1784021644808629995,1784021644808631397,1784021644808640000,4128756,9,-73.22,8.52,0x8451432e
HWS-002-FIFO,4,5,FIFO,limo02,1784021652002256004,1784021652002822331,1784021652002823820,1784021652002846073,566327,6,-83.83,16.96,0xce1eaa99
HWS-002-FIFO,4,6,FIFO,limo01,1784021659201442834,1784021659203878712,1784021659203880017,1784021659203885981,2435878,10,-73.50,15.60,0xf036798f
HWS-002-FIFO,5,0,FIFO,limo01,1784021688003167177,1784021688004570133,1784021688004571228,1784021688004586731,1402956,10,-75.55,15.02,0xd5a0a146
HWS-002-FIFO,5,1,FIFO,limo01,1784021695204112608,1784021695204195271,1784021695204196783,1784021695204213808,82663,2,-84.88,13.26,0x51532b47
HWS-002-FIFO,5,2,FIFO,limo01,1784021702403063776,1784021702403233805,1784021702403235752,1784021702403257670,170029,5,-85.54,11.93,0xfc42af30
HWS-002-FIFO,5,3,FIFO,limo02,1784021709603201103,1784021709605961379,1784021709605962810,1784021709605982820,2760276,3,-94.06,8.56,0x2fcb73c0
HWS-002-FIFO,5,4,FIFO,limo02,1784021716801454640,1784021716801768209,1784021716801769898,1784021716801779430,313569,0,-94.77,14.78,0x770ba819
HWS-002-FIFO,5,5,FIFO,limo01,1784021724002386419,1784021724003704387,1784021724003706076,1784021724003722407,1317968,9,-91.53,3.80,0x50232fc2
HWS-002-FIFO,5,6,FIFO,limo02,1784021731202582935,1784021731204096025,1784021731204097887,1784021731204120629,1513090,9,-71.11,4.92,0xbe2ba893
HWS-002-FIFO,5,7,FIFO,limo01,1784021738402666852,1784021738406421331,1784021738406423594,1784021738406448400,3754479,1,-87.21,9.66,0xda55afad
HWS-002-FIFO,5,8,FIFO,limo01,1784021745603584534,1784021745605000630,1784021745605002575,1784021745605022133,1416096,1,-74.95,7.85,0xad5c1708
HWS-002-FIFO,5,9,FIFO,limo02,1784021752804483093,1784021752809115736,1784021752809116909,1784021752809137089,4632643,3,-93.91,8.87,0xc2b3e5eb
HWS-002-FIFO,6,0,FIFO,limo02,1784021760001965197,1784021760004703670,1784021760004706176,1784021760004711422,2738473,8,-93.59,4.60,0x1062b8cd
HWS-002-FIFO,6,1,FIFO,limo01,1784021767200142674,1784021767203242539,1784021767203243939,1784021767203249784,3099865,8,-90.01,5.27,0x74df9aaf
HWS-002-FIFO,6,2,FIFO,limo01,1784021774401054602,1784021774404832243,1784021774404834112,1784021774404839979,3777641,4,-77.12,5.68,0x8849d498
HWS-002-FIFO,6,3,FIFO,limo02,1784021781603950798,1784021781608273749,1784021781608276090,1784021781608285994,4322951,6,-84.84,9.86,0xc08c848f
HWS-002-FIFO,6,4,FIFO,limo01,1784021788800603880,1784021788805444990,1784021788805446372,1784021788805451590,4841110,5,-93.35,11.27,0x48401057
HWS-002-FIFO,6,5,FIFO,limo01,1784021796004875271,1784021796008684900,1784021796008686690,1784021796008691997,3809629,4,-90.38,8.13,0x23bfd7ff
HWS-002-FIFO,6,6,FIFO,limo02,1784021803201247553,1784021803206192818,1784021803206194395,1784021803206200043,4945265,0,-71.35,3.23,0x96bc923c
HWS-002-FIFO,7,0,FIFO,limo01,1784021832002469761,1784021832007335238,1784021832007336902,1784021832007346217,4865477,3,-86.45,12.05,0x01014512
HWS-002-FIFO,7,1,FIFO,limo02,1784021839204704809,1784021839205188419,1784021839205190722,1784021839205198224,483610,5,-79.34,5.63,0x05e93378
HWS-002-FIFO,7,2,FIFO,limo02,1784021846400650269,1784021846402081547,1784021846402083705,1784021846402095864,1431278,0,-78.21,14.65,0x361e1ece
HWS-002-FIFO,7,3,FIFO,limo01,1784021853604315903,1784021853608700524,1784021853608702468,1784021853608713535,4384621,10,-85.35,16.72,0x9d8644d4
HWS-002-FIFO,7,4,FIFO,limo02,1784021860803505238,1784021860805294793,1784021860805297685,1784021860805314525,1789555,3,-72.91,8.99,0x88720f39
HWS-002-FIFO,7,5,FIFO,limo02,1784021868003975766,1784021868004739674,1784021868004741264,1784021868004748881,763908,1,-93.97,17.37,0xaf3ada19
HWS-002-FIFO,7,6,FIFO,limo02,1784021875202447596,1784021875205103875,1784021875205105787,1784021875205120828,2656279,5,-83.59,2.97,0xfd132904
HWS-002-FIFO,7,7,FIFO,limo02,1784021882403261333,1784021882407338873,1784021882407340955,1784021882407347279,4077540,6,-79.77,16.37,0xb66bce07
HWS-002-FIFO,8,0,FIFO,limo02,1784021904001261256,1784021904002906772,1784021904002909735,1784021904002930294,1645516,2,-79.67,11.28,0x9751d2e8
HWS-002-FIFO,8,1,FIFO,limo01,1784021911200904767,1784021911203537985,1784021911203539134,1784021911203547835,2633218,9,-90.43,2.98,0xafa97979
HWS-002-FIFO,8,2,FIFO,limo01,1784021918404292064,1784021918407404990,1784021918407406830,1784021918407423184,3112926,6,-82.67,10.88,0x9c32185d
HWS-002-FIFO,8,3,FIFO,limo02,1784021925600660550,1784021925600918905,1784021925600921850,1784021925600937170,258355,8,-75.08,12.24,0x7829660d
HWS-002-FIFO,8,4,FIFO,limo01,1784021932803747468,1784021932808405043,1784021932808406652,1784021932808417938,4657575,7,-78.85,4.84,0x0aecbeb3
HWS-002-FIFO,8,5,FIFO,limo02,1784021940004556270,1784021940006665708,1784021940006667685,1784021940006673787,2109438,0,-82.51,9.21,0xdba65837
HWS-002-FIFO,8,6,FIFO,limo01,1784021947200972449,1784021947204526317,1784021947204528013,1784021947204538677,3553868,5,-81.54,16.31,0xaf28b8a1
HWS-002-FIFO,9,0,FIFO,limo01,1784021976001671044,1784021976004312538,1784021976004313812,1784021976004320755,2641494,7,-89.93,13.40,0x594fac42
HWS-002-FIFO,9,1,FIFO,limo01,1784021983203637045,1784021983204868725,1784021983204870374,1784021983204887786,1231680,7,-93.59,7.76,0x31444d71
HWS-002-FIFO,9,2,FIFO,limo02,1784021990404315911,1784021990406580211,1784021990406581743,1784021990406597172,2264300,7,-76.33,17.88,0x93bbd658
HWS-002-FIFO,9,3,FIFO,limo02,1784021997603995486,1784021997606529289,1784021997606530430,1784021997606536350,2533803,9,-71.54,5.73,0x04bc4955
HWS-002-FIFO,9,4,FIFO,limo02,1784022004801476699,1784022004804089409,1784022004804092250,1784022004804111001,2612710,9,-74.01,17.12,0x0cdad28a
HWS-002-FIFO,9,5,FIFO,limo01,1784022012001057351,1784022012005940987,1784022012005942174,1784022012005953835,4883636,7,-81.86,15.39,0xdf6a75c6
HWS-002-FIFO,9,6,FIFO,limo02,1784022019202110520,1784022019204798198,1784022019204799675,1784022019204823058,2687678,2,-81.39,8.60,0x44514193
HWS-002-FIFO,9,7,FIFO,limo02,1784022026401999905,1784022026403129081,1784022026403130122,1784022026403141974,1129176,0,-91.57,4.12,0x5cbb4e2f
HWS-002-FIFO,9,8,FIFO,limo01,1784022033600415272,1784022033605223880,1784022033605226229,1784022033605233788,4808608,3,-78.16,10.20,0x080b02e4
HWS-002-FIFO,10,0,FIFO,limo02,1784022048004145902,1784022048008224309,1784022048008225841,1784022048008240872,4078407,4,-80.16,13.80,0x11dc70d9
HWS-002-FIFO,10,1,FIFO,limo01,1784022055200520322,1784022055205448248,1784022055205449343,1784022055205469291,4927926,9,-86.83,9.31,0x8d54c43d
HWS-002-FIFO,10,2,FIFO,limo01,1784022062403449227,1784022062406207124,1784022062406210076,1784022062406223932,2757897,9,-83.66,12.28,0x8bccb12f
HWS-002-FIFO,10,3,FIFO,limo02,1784022069600457143,1784022069605270880,1784022069605273741,1784022069605282067,4813737,5,-72.71,11.88,0xa96a987e
HWS-002-FIFO,10,4,FIFO,limo01,1784022076804885597,1784022076809800957,1784022076809803830,1784022076809811154,4915360,6,-93.40,6.95,0x909783d8
HWS-002-FIFO,10,5,FIFO,limo01,1784022084000525859,1784022084002848827,1784022084002850556,1784022084002874190,2322968,7,-92.25,16.28,0xbea08df8
